"Species name";"Taxonomic group";"Environment";"Pathway: main category
(according to CBD scheme)";"Pathway: subcategory 
(according to CBD scheme)";"Pathway: intentionality ";"Source of the record:
D = DAISIE
G = GISD/IASPMR";"Record concerns overlapping species (i.e. species with records in both databases: DAISIE and GISD/IASPMR)";"Record concerns species that is listed among 'Europe's Worst IAS' according to EEA (2007) Halting the loss of biodiversity by 2010: proposal for a first set of indicators to monitor progress in Europe. EEA Technical Report No. 11/2007. European Environment Agency, Copenhagen, DK.";"Record concerns species that is listed among the '100 of the Worst IAS' in DAISIE
(www.europe-aliens.org)";"Record concerns species that is listed among the '100 of the Worst IAS' in GISD
(www.iucngisd.org)"
"Lumbricus terrestris";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Vehicles";"unintentional";"G";;;;
"Lumbrineris inflata";"Invertebrates";"marine";"Transport - Contaminant & Stowaway";"Other transport as stowaway";"unintentional";"D";;;;
"Lunaria annua";"Plants";"terrestrial";"Escape from confinement";"Agriculture";"intentional";"D";;;;
"Lunaria annua";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Lunaria annua";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Lunaria annua";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Lunaria annua";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Lunularia cruciata";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Luperomorpha xanthodera";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Lupinus albus";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Lupinus albus";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Lupinus albus";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Lupinus albus";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Lupinus albus";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Lupinus angustifolius";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Lupinus angustifolius";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Lupinus angustifolius";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Lupinus angustifolius";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";"Seed contaminant";"unintentional";"D";;;;
"Lupinus arboreus";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Lupinus luteus";"Plants";"terrestrial";"Escape from confinement";"Agriculture";"intentional";"D";;;;
"Lupinus luteus";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Lupinus luteus";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Lupinus luteus";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Lupinus micranthus";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Lupinus nootkatensis";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Lupinus perennis";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Lupinus polyphyllus";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Lupinus polyphyllus";"Plants";"terrestrial";"Escape from confinement";"Forestry";"intentional";"D";;;;
"Lupinus polyphyllus";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Lupinus polyphyllus";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Lupinus polyphyllus";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Lupinus polyphyllus";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";"Seed contaminant";"unintentional";"D";;;;
"Lutjanus analis";"Vertebrates";"marine";"Release in Nature";"Fishery in the wild";"intentional";"G";;;;
"Lutjanus argentimaculatus";"Vertebrates";"multiple";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"D";"x";;;
"Lutjanus argentimaculatus";"Vertebrates";"multiple";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"G";"x";;;
"Lutjanus argentimaculatus";"Vertebrates";"multiple";"Escape from confinement";"Aquaculture";"intentional";"G";"x";;;
"Lutjanus argentimaculatus";"Vertebrates";"multiple";"Escape from confinement";"Aquaculture";"intentional";"G";"x";;;
"Lutjanus argentimaculatus";"Vertebrates";"multiple";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"G";"x";;;
"Lutjanus argentimaculatus";"Vertebrates";"multiple";"Release in Nature";"Fishery in the wild";"intentional";"G";"x";;;
"Lutjanus guttatus";"Vertebrates";"marine";"Release in Nature";"Fishery in the wild";"intentional";"G";;;;
"Lutjanus jocu";"Vertebrates";"multiple";"Release in Nature";"Fishery in the wild";"intentional";"G";;;;
"Lutjanus kasmira";"Vertebrates";"marine";"Release in Nature";"Fishery in the wild";"intentional";"G";;;;
"Lutjanus kasmira";"Vertebrates";"marine";"Release in Nature";"Fishery in the wild";"intentional";"G";;;;
"Lutjanus kasmira";"Vertebrates";"marine";"Release in Nature";"Release in nature for use";"intentional";"G";;;;
"Luzonichthys waitei";"Vertebrates";"marine";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";;;;
"Luzonichthys waitei";"Vertebrates";"marine";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";;;;
"Luzula luzuloides";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Luzula nivea";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Lycalopex griseus";"Vertebrates";"terrestrial";"Release in Nature";"Biological control";"intentional";"G";;;;
"Lychnis chalcedonica";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";"x";;;
"Lychnis chalcedonica";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";"x";;;
"Lychnis chalcedonica";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";"x";;;
"Lychnis chalcedonica";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";"x";;;
"Lychnis chalcedonica";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"G";"x";;;
"Lycium";"Plants";"terrestrial";"Escape from confinement";"Agriculture";"intentional";"D";;;;
"Lycium afrum";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Lycium barbarum";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Lycium barbarum";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Lycium barbarum";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Lycium barbarum";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Lycium chinense";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Lycium chinense";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Lycium chinense";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Lycium chinense";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Lycium europaeum";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Lycium ferocissimum";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Lycopersicon esculentum";"Plants";"terrestrial";"Escape from confinement";"Agriculture";"intentional";"D";;;;
"Lycopersicon esculentum";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Lycopersicon esculentum";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Lycopersicon esculentum";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Lycopersicon esculentum";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Lycopersicon esculentum";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";"Seed contaminant";"unintentional";"D";;;;
"Lycopus europaeus subsp. menthifolius";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Lycopus exaltatus";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Lyctus africanus";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Lyctus brunneus";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Lyctus cavicollis";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Lyctus parallelocollis";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Lyctus planicollis";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Lyctus sinensis";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Lygodactylus williamsi";"Vertebrates";"terrestrial";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Lygodium japonicum";"Plants";"multiple";"Escape from confinement";"Horticulture ";"intentional";"G";;;;
"Lymantria dispar";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Container/bulk";"unintentional";"G";;;;"x"
"Lymantria dispar";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Contaminant nursery material";"unintentional";"G";;;;"x"
"Lymantria dispar";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Organic packing material";"unintentional";"G";;;;"x"
"Lymantria dispar";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Ship/boat hull fouling";"unintentional";"G";;;;"x"
"Lymnaea stagnalis";"Invertebrates";"freshwater";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Lysichiton americanus";"Plants";"terrestrial";"Escape from confinement";"Agriculture";"intentional";"D";;"x";;
"Lysichiton americanus";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;"x";;
"Lysichiton americanus";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;"x";;
"Lysichiton camtschatcensis";"Plants";"terrestrial";"Escape from confinement";"Agriculture";"intentional";"D";;;;
"Lysichiton camtschatcensis";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Lysidice collaris";"Invertebrates";"marine";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"D";;;;
"Lysidice collaris";"Invertebrates";"marine";"Transport - Contaminant & Stowaway";"Other transport as stowaway";"unintentional";"D";;;;
"Lysimachia ciliata";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Lysimachia nummularia";"Plants";"multiple";"Escape from confinement";"Ornamental purpose";"intentional";"G";;;;
"Lysimachia nummularia";"Plants";"multiple";"Escape from confinement";"Horticulture ";"intentional";"G";;;;
"Lysimachia nummularia";"Plants";"multiple";"Escape from confinement";"Horticulture ";"intentional";"G";;;;
"Lysimachia punctata";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Lysimachia punctata";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Lysimachia punctata";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Lysiphlebus testaceipes";"Invertebrates";"terrestrial";"Release in nature";"Biological control";"intentional";"D";;;;
"Lystrophis dorbignyi";"Vertebrates";"terrestrial";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Lystrophis semicinctus";"Vertebrates";"terrestrial";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Lythrum acutangulatum";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";"Seed contaminant";"unintentional";"D";;;;
"Lythrum junceum";"Plants";"multiple";"Escape from confinement";;"intentional";"D";;;;
"Lythrum salicaria";"Plants";"multiple";"Escape from confinement";"Horticulture ";"intentional";"G";;;;"x"
"Lythrum salicaria";"Plants";"multiple";"Escape from confinement";"Ornamental purpose";"intentional";"G";;;;"x"
"Lythrum salicaria";"Plants";"multiple";"Release in Nature";"Landscape/flora/fauna improvement";"intentional";"G";;;;"x"
"Lythrum virgatum";"Plants";"multiple";"Escape from confinement";"Horticulture ";"intentional";"G";;;;
"Mabuya multifasciata";"Vertebrates";"terrestrial";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Macaca fascicularis";"Vertebrates";"terrestrial";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;"x"
"Macaca fascicularis";"Vertebrates";"terrestrial";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;"x"
"Macaca fascicularis";"Vertebrates";"terrestrial";"Release in Nature";"Landscape/flora/fauna improvement";"intentional";"G";;;;"x"
"Macaca fascicularis";"Vertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Hitchhikers on ship/boat ";"unintentional";"G";;;;"x"
"Macaca fascicularis";"Vertebrates";"terrestrial";"Release in Nature";"Landscape/flora/fauna improvement";"intentional";"G";;;;"x"
"Macaca fascicularis";"Vertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Machinery/equipment";"unintentional";"G";;;;"x"
"Macaca mulatta";"Vertebrates";"terrestrial";"Escape from confinement";"Research (in facilities)";"intentional";"G";;;;
"Macaca nemestrina";"Vertebrates";"terrestrial";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Macaca sylvanus";"Vertebrates";"terrestrial";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"D";;;;
"Macaria liturata";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Macfadyena unguis-cati";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";"x";;;
"Macfadyena unguis-cati";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"G";"x";;;
"Macleaya cordata";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Macleaya cordata";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Macleaya cordata";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Macleaya cordata";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Maclura pomifera";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Maclura pomifera";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Maclura pomifera";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Maconellicoccus hirsutus";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";"x";;;
"Maconellicoccus hirsutus";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Parasites on plants";"unintentional";"G";"x";;;
"Macquaria ambigua";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Macquaria ambigua";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Macrobrachium nipponense";"Invertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"D";;;;
"Macrobrachium rosenbergii";"Invertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"D";;;;
"Macrocentrus ancylivorus";"Invertebrates";"terrestrial";"Release in nature";"Biological control";"intentional";"D";;;;
"Macroclemys temminckii";"Vertebrates";"multiple";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Macroclemys temminckii";"Vertebrates";"multiple";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Macroclemys temminckii";"Vertebrates";"multiple";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Macroclemys temminckii";"Vertebrates";"multiple";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Macrocystis pyrifera";"Algae";"marine";"Escape from confinement";"Aquaculture";"intentional";"D";;;;
"Macrognathus circumcinctus";"Vertebrates";"freshwater";"Escape from confinement";"Ornamental purpose";"intentional";"G";;;;
"Macrognathus siamensis";"Vertebrates";"freshwater";"Escape from confinement";"Ornamental purpose";"intentional";"G";;;;
"Macrognathus zebrinus";"Vertebrates";"freshwater";"Escape from confinement";"Ornamental purpose";"intentional";"G";;;;
"Macrohomotoma gladiata";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Macrolophus melanotoma";"Invertebrates";"terrestrial";"Release in nature";"Biological control";"intentional";"D";;;;
"Macromedaeus voeltzkowi";"Invertebrates";"marine";"Transport - Contaminant & Stowaway";"Other transport as stowaway";"unintentional";"D";;;;
"Macropharyngodon choati";"Vertebrates";"marine";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";;;;
"Macropharyngodon choati";"Vertebrates";"marine";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";;;;
"Macropharyngodon kuiteri";"Vertebrates";"marine";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";;;;
"Macropharyngodon kuiteri";"Vertebrates";"marine";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";;;;
"Macropharyngodon meleagris";"Vertebrates";"marine";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";;;;
"Macropharyngodon meleagris";"Vertebrates";"marine";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";;;;
"Macropharyngodon meleagris";"Vertebrates";"marine";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";;;;
"Macropharyngodon meleagris";"Vertebrates";"marine";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";;;;
"Macropharyngodon negrosensis";"Vertebrates";"marine";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";;;;
"Macropharyngodon negrosensis";"Vertebrates";"marine";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";;;;
"Macrophthalmus graeffei";"Invertebrates";"marine";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"D";;;;
"Macropodus ocellatus";"Vertebrates";"freshwater";"Escape from confinement";"Ornamental purpose";"intentional";"G";;;;
"Macropodus opercularis";"Vertebrates";"freshwater";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";;;;
"Macropodus opercularis";"Vertebrates";"freshwater";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";;;;
"Macropodus opercularis";"Vertebrates";"freshwater";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Macropodus opercularis";"Vertebrates";"freshwater";"Escape from confinement";"Ornamental purpose";"intentional";"G";;;;
"Macropodus opercularis";"Vertebrates";"freshwater";"Escape from confinement";"Ornamental purpose";"intentional";"G";;;;
"Macropsis elaeagni  Auchenorrhyncha";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Macropus rufogriseus";"Vertebrates";"terrestrial";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"D";;;;
"Macropus rufogriseus";"Vertebrates";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Macropus rufogriseus";"Vertebrates";"terrestrial";"Release in nature";"Hunting in the wild";"intentional";"D";;;;
"Macrorhynchia philippina";"Invertebrates";"marine";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"D";;;;
"Macrosiphoniella aphidoidea";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Macrosiphoniella sanborni";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Macrosiphoniella sanborni";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Macrosiphum albifrons";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Macrosiphum albifrons";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Macrosiphum albifrons";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Macrosiphum euphorbiae";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Macrosiphum euphorbiae";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Macrosiphum euphorbiae";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Macrovipera lebetina";"Vertebrates";"terrestrial";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Macrovipera mauritanica";"Vertebrates";"terrestrial";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Mactra lilacea";"Invertebrates";"marine";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"D";;;;
"Mactra olorina";"Invertebrates";"marine";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"D";;;;
"Madia sativa";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Madia sativa";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Madia sativa";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Madia sativa";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";"Seed contaminant";"unintentional";"D";;;;
"Maeotias marginata";"Invertebrates";"marine";"Transport - Contaminant & Stowaway";"Other transport as stowaway";"unintentional";"D";;;;
"Magdalis memnonia";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Magelona mirabilis";"Invertebrates";"freshwater";"Transport - Contaminant & Stowaway";"Other transport as stowaway";"unintentional";"D";;;;
"Magnolia grandiflora";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Mahonia aquifolium";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Mahonia aquifolium";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Mahonia aquifolium";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Malaclemys terrapin";"Vertebrates";"multiple";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Malaclemys terrapin";"Vertebrates";"multiple";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Malaclemys terrapin";"Vertebrates";"multiple";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Malacochersus tornieri";"Vertebrates";"terrestrial";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Malayemys subtrijuga";"Vertebrates";"multiple";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Malayemys subtrijuga";"Vertebrates";"multiple";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Malcolmia africana";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Malcolmia africana";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";"Seed contaminant";"unintentional";"D";;;;
"Malcolmia chia";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Malcolmia chia";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Malcolmia flexuosa";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Malcolmia laxa";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";"Seed contaminant";"unintentional";"D";;;;
"Malcolmia maritima";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Malcolmia maritima";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Malcolmia maritima";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Malope trifida";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Malope trifida";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Malope trifida";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Malope trifida";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Malope trifida";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";"Seed contaminant";"unintentional";"D";;;;
"Malus baccata";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Malus baccata";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Malus domestica";"Plants";"terrestrial";"Escape from confinement";"Agriculture";"intentional";"D";;;;
"Malus domestica";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Malus domestica";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Malus domestica";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Malus sachalinensis";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Malus sylvestris";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Malus sylvestris";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Malus toringo";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Malva alcea";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Malva alcea";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Malva alcea";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Malva alcea";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Malva alcea";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Malva excisa";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Malva moschata";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Malva moschata";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Malva moschata";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Malva moschata";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Malva moschata";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Malva moschata";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";"Seed contaminant";"unintentional";"D";;;;
"Malva neglecta";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Malva neglecta";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Malva parviflora";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Malva parviflora";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";"Seed contaminant";"unintentional";"D";;;;
"Malva pusilla";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Malva pusilla";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Malva pusilla";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Malva sylvestris";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
